RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,95822412,Mitchell,465,Spain,Female,85,1,0.0,3,0,1,139830.41,1
2,24942603,Robinson,567,France,Female,73,10,38272.8,1,1,1,154588.7,0
3,13356886,Green,553,Spain,Male,33,5,28758.67,2,1,0,95122.99,0
4,46913810,Thompson,584,Germany,Male,92,10,181896.48,2,1,1,63655.8,0
5,42868828,Abbott,679,France,Male,92,4,73951.92,1,0,1,167030.99,1
6,39958838,Sanchez,702,Spain,Male,21,9,0.0,4,0,1,48114.61,0
7,28728463,Gonzalez,552,Spain,Male,19,3,128343.07,2,1,0,123524.71,0
8,23756669,Thompson,573,Spain,Female,36,4,130377.14,1,1,0,60412.33,1
9,83197857,Green,755,France,Male,77,3,53303.4,2,1,0,102837.52,0
10,21668732,Garcia,815,France,Male,62,6,140849.53,1,1,1,11840.2,0
11,89254563,Decker,771,France,Female,56,2,48169.99,1,1,0,41140.52,1
12,66629388,Taylor,490,Spain,Male,49,5,139007.19,3,0,0,3087.16,0
13,14265799,Pena,765,Germany,Male,53,9,496.37,2,1,1,252173.95,0
14,13999315,Dyer,829,Spain,Male,65,1,56982.13,1,1,1,18105.52,0
15,22575562,Morgan,485,France,Female,22,8,89801.14,3,0,1,150369.15,0
16,39345092,Clark,755,France,Male,61,9,98369.17,1,1,1,56875.0,0
17,41227216,Bryant,671,Germany,Female,34,0,23696.46,1,1,0,35538.94,1
18,77827638,Wood,618,France,Female,77,7,26223.13,1,0,0,115068.94,1
19,90801586,Watson,660,Spain,Male,32,5,104539.08,3,0,0,247072.26,0
20,13561597,Jackson,692,Germany,Female,23,7,63184.67,1,1,0,55561.52,0
21,85329037,Rose,762,Spain,Male,50,3,51773.5,1,1,0,205121.71,0
22,36687537,Lloyd,757,France,Male,51,2,0.0,2,1,1,212269.85,0
23,97226012,Hanson,503,Spain,Male,56,3,0.0,2,1,0,38747.05,0
24,83140807,Hamilton,587,Spain,Female,82,1,43950.41,1,1,1,1550.37,0
25,66306997,Page,659,Spain,Male,70,4,35608.13,3,1,1,55290.38,1
26,39587039,Wilson,802,France,Male,45,9,8866.34,1,1,0,162129.41,0
27,70291817,Andrade,385,France,Female,72,8,130300.78,1,1,0,14963.02,1
28,89089901,Anderson,590,France,Male,55,1,0.0,4,1,0,128199.92,1
29,47338124,Lopez,501,France,Female,34,6,0.0,1,1,0,105536.89,0
30,10872248,Patel,517,Germany,Female,19,0,4135.14,3,1,1,62499.34,0
31,31429110,Benson,745,Germany,Female,18,0,22109.8,3,0,1,71877.31,0
32,66722344,Stewart,598,Spain,Female,34,6,20527.87,2,1,1,89637.19,0
33,55667651,Jordan,423,France,Female,79,3,105559.34,1,1,0,105086.19,1
34,47295260,Fields,634,France,Male,52,7,0.0,1,1,0,193563.32,1
35,30868105,Mccall,847,France,Female,51,1,7140.64,1,0,1,76323.84,0
36,38898923,Hines,474,France,Female,47,1,120297.95,1,0,0,94514.09,0
37,55176955,Matthews,701,France,Female,37,7,106646.51,2,1,0,135284.57,0
38,23718431,Dickerson,802,France,Female,71,2,97106.75,1,0,0,43561.06,1
39,22448136,Phillips,645,France,Male,18,0,94305.09,1,1,0,191550.29,0
40,60992979,Hernandez,837,Germany,Male,63,8,23054.15,1,1,0,52495.66,0
41,22981052,Wright,585,France,Male,88,7,154031.94,1,1,1,126851.43,0
42,58181396,Soto,790,Spain,Male,84,10,69735.62,1,0,1,84908.2,0
43,56164955,Ramirez,767,Germany,Female,45,6,92616.52,2,0,1,100262.74,0
44,91030736,Martinez,646,France,Female,82,5,99740.96,1,1,0,213975.7,1
45,45503389,Romero,505,Spain,Male,35,7,0.0,1,1,0,114908.65,0
46,15831819,Silva,552,Spain,Male,36,8,193576.27,2,1,0,60084.49,0
47,71662963,Burns,422,France,Female,43,6,0.0,2,1,0,47003.45,0
48,81971316,Acosta,707,France,Male,19,3,78070.58,3,0,1,172013.9,0
49,26753883,Mueller,696,Germany,Female,37,9,50423.88,3,0,0,125480.74,0
50,60806024,Gibbs,657,France,Female,82,7,0.0,1,1,0,71068.82,1
51,20576383,Mendez,638,France,Male,75,9,149914.6,1,1,1,162773.82,1
52,84093639,Jackson,781,France,Male,42,6,85814.2,3,0,0,53092.68,0
53,49349722,Hughes,678,Spain,Female,41,4,14881.23,2,1,0,49949.81,0
54,94374605,Khan,596,Germany,Male,44,9,0.0,3,1,0,91659.89,0
55,93016315,Potter,664,Germany,Female,26,6,71970.6,1,0,0,82771.66,0
56,58537831,Brooks,848,Spain,Male,29,8,47997.99,4,1,0,318.17,0
57,87490893,Stone,710,France,Male,92,9,15033.51,4,1,1,70546.65,0
58,35808537,White,612,Germany,Male,69,3,20362.78,1,1,1,131872.88,0
59,19335534,Marquez,645,France,Female,68,2,167210.85,1,1,0,78006.86,0
60,16150444,Fox,694,France,Female,39,1,0.0,1,1,1,97761.13,0
61,98753260,Webb,609,Germany,Female,82,6,78135.96,1,1,1,41544.98,0
62,40587988,Sosa,600,France,Male,31,8,0.0,1,1,0,116009.4,1
63,48840994,Wells,648,Germany,Female,90,10,98326.83,1,0,1,127880.16,1
64,20709497,Perkins,797,Spain,Male,55,0,0.0,3,0,0,179994.75,0
65,41244663,Little,726,Germany,Female,42,0,51128.66,1,0,1,81540.41,0
66,23556182,Gibbs,610,Germany,Female,74,7,100160.64,3,1,0,85125.57,1
67,61019678,Santos,734,Germany,Male,49,2,107767.86,1,1,0,136092.25,1
68,47308985,Clark,650,France,Female,38,5,0.0,3,1,1,91192.3,0
69,70855700,Jacobson,683,France,Male,69,0,20935.54,1,1,1,135869.42,1
70,95320121,Hayes,674,France,Male,72,0,102738.05,1,1,1,141616.22,0
71,58966946,Young,445,France,Male,63,5,149009.32,2,1,1,39009.47,1
72,31831063,Robinson,354,France,Female,52,7,0.0,1,1,1,36306.08,1
73,59684848,Coleman,671,Spain,Male,42,9,212909.01,1,0,1,66861.11,0
74,57683626,Bennett,567,France,Female,48,5,64815.58,1,0,1,1781.48,1
75,38119557,Moore,490,France,Male,83,7,30498.79,2,1,1,205792.53,0
76,99949389,Kirby,570,France,Female,44,9,23368.52,2,1,1,27321.86,0
77,45833156,Scott,739,France,Female,90,4,0.0,1,0,1,165777.21,1
78,96977837,Miller,684,Germany,Male,28,2,0.0,4,0,0,41261.86,0
79,19583482,Walton,724,Germany,Female,30,9,127573.56,1,1,0,161421.07,0
80,91756179,Phillips,693,Spain,Female,42,0,0.0,3,0,1,167481.22,0
81,95225343,Stone,560,Germany,Male,18,3,94140.91,2,1,0,1129.94,1
82,32969840,Hall,725,France,Male,83,1,194734.67,1,1,0,93651.68,0
83,81691040,Williams,706,Spain,Male,43,7,0.0,2,1,1,197436.71,0
84,42857966,Hunt,638,France,Female,25,2,71481.83,2,1,0,105815.91,0
85,31931511,Rogers,655,France,Female,64,3,0.0,2,1,0,151477.9,1
86,72043515,Hayes,726,France,Female,89,7,3220.07,2,0,1,114881.85,0
87,60929647,Reynolds,577,Germany,Female,92,3,0.0,2,0,0,150684.36,1
88,46231783,Richardson,755,France,Female,26,3,156383.82,2,1,1,172145.9,0
89,95899313,Jimenez,704,France,Male,77,5,28619.64,1,1,0,89504.32,1
90,84752529,Nelson,650,Germany,Male,45,1,60475.6,2,1,0,100265.59,0
91,39476249,Johnson,798,France,Female,80,10,0.0,1,1,1,82181.04,0
92,53524491,Alexander,524,Germany,Male,63,10,2220.4,3,1,1,29439.93,0
93,17507864,Baker,605,France,Male,72,7,24266.32,3,1,0,140047.64,1
94,40742311,Jones,583,France,Female,80,1,74651.79,1,0,1,104618.25,1
95,14308421,Valenzuela,684,France,Female,85,5,48826.57,2,1,1,171811.99,0
96,52339391,Phillips,764,Germany,Female,28,3,0.0,2,1,0,210928.08,1
97,63843426,Shaw,554,France,Male,72,1,113645.56,2,1,1,69389.05,0
98,45935572,Payne,850,France,Female,28,9,47217.41,1,1,1,76516.67,0
99,18883684,Miller,585,France,Male,88,4,0.0,2,0,0,64726.87,0
100,38317637,Hill,684,Spain,Male,65,7,0.0,1,1,0,182670.95,1
